FmPrime,FoPrime,Fs,FvP/FmP,LEF,NPQt,Phi2,PhiNO,PhiNPQ,RFd,SPAD_420,SPAD_530,SPAD_605,SPAD_650,SPAD_730,SPAD_850,SPAD_880,absorbance_530,absorbance_605,absorbance_730,absorbance_850,absorbance_880,absorbance_940,ambient_humidity,column,cultivar,cultivar_id,date,leaf_angle_clamp_position,leaf_temperature,leaf_temperature_differential,leaf_thickness,light_intensity_PAR,pitch,proximal_air_temperature,qL,qP,range,relative_chlorophyll,roll,season
2986.15,2233.0,2316.8,0.252,157.363,13.48,0.22399999999999998,0.054000000000000006,0.722,0.289,135.13,51.49,70.97,34.8,-14.75,-3.18,1.36,0.99,1.185,0.327,0.44299999999999995,0.489,0.475,17.621094,2,6000000964,6000000964,2017-08-28 12:00:00,3.23,315.48,-2.160002,0.42,1560.0,1.92,44.490002000000004,0.857,0.889,21,34.79541109,-2.6,4
4181.791,2583.0,3221.0,0.382,158.183,6.886,0.23,0.098,0.6729999999999999,0.298,188.25,78.33,100.08,49.6,-9.4,-3.74,1.34,1.27,1.4869999999999999,0.392,0.449,0.5,0.486,27.99707,15,6000000851,6000000851,2017-08-28 11:14:00,51.6,310.14,-6.750002,0.15,1530.0,36.11,43.740002000000004,0.48200000000000004,0.601,26,49.60229446,-39.74,4
5116.053,2321.0,3569.2,0.546,177.017,3.051,0.302,0.172,0.525,0.433,171.18,73.73,94.76,46.18,-9.06,-3.09,1.89,1.224,1.4340000000000002,0.396,0.456,0.506,0.48700000000000004,26.202148,15,6000000851,6000000851,2017-08-28 11:15:00,18.09,307.44,-9.48,0.57,1301.0,5.31,43.77,0.36,0.5529999999999999,26,46.18355641,-17.32,4
1902.247,1759.0,1757.1,0.076,53.598,58.729,0.076,0.015,0.9079999999999999,0.083,134.03,54.04,65.7,33.01,-16.36,-3.62,1.06,0.997,1.114,0.293,0.42100000000000004,0.467,0.457,17.947266,2,6000000964,6000000964,2017-08-28 11:59:00,1.85,318.92,1.8199990000000001,0.46,1561.0,-1.62,43.950001,1.011,1.01,21,33.00956023,-0.9,4
1749.371,1476.0,1512.8,0.156,94.147,25.393,0.135,0.033,0.8320000000000001,0.156,137.76,61.22,76.23,34.04,-13.45,-3.79,1.2,1.185,1.335,0.43799999999999994,0.535,0.584,0.5720000000000001,20.450195,3,6000000964,6000000964,2017-08-28 12:10:00,16.6,320.24,1.389999,1.08,1547.0,12.25,45.700001,0.846,0.867,45,34.04206501,11.29,4
2008.2,1914.0,1852.1,0.047,49.608999999999995,98.15899999999999,0.078,0.009000000000000001,0.9129999999999999,0.084,142.22,55.88,73.23,36.29,-14.37,-3.76,2.1,1.015,1.189,0.313,0.419,0.478,0.457,19.720703,3,6000000964,6000000964,2017-08-28 12:12:00,16.2,320.74,1.36,0.09,1418.0,-9.89,46.0,1.713,1.6569999999999998,45,36.29063098,-12.9,4
2655.8520000000003,1918.0,2203.8,0.278,116.348,11.687000000000001,0.17,0.065,0.764,0.205,151.94,78.57,101.38,45.25,-8.66,-2.5,1.7,1.3259999999999998,1.554,0.45399999999999996,0.515,0.557,0.54,20.944336,4,6000000962,6000000962,2017-08-28 12:17:00,8.21,316.78,-2.5000009999999997,1.33,1519.0,4.93,46.130001,0.5329999999999999,0.613,45,45.24665392,-6.58,4
3648.1220000000003,2319.0,2786.7,0.364,184.575,7.516,0.23600000000000002,0.09,0.674,0.309,163.93,76.15,101.87,48.72,-7.78,-2.89,2.32,1.2409999999999999,1.4980000000000002,0.402,0.451,0.503,0.479,21.1875,4,6000000962,6000000962,2017-08-28 12:20:00,15.9,311.14,-7.870000999999999,0.82,1737.0,12.47,45.860001000000004,0.539,0.648,45,48.71892925,-9.94,4
2584.835,1971.0,2157.5,0.237,122.915,14.682,0.165,0.053,0.7809999999999999,0.198,181.17,85.78,115.23,55.31,-7.17,-2.58,1.38,1.349,1.643,0.42,0.465,0.505,0.491,19.262695,14,6000000962,6000000962,2017-08-28 12:30:00,46.84,314.65,-4.09,1.13,1652.0,14.19,45.59,0.637,0.6970000000000001,16,55.30783939,-45.13,4
3201.526,2447.0,2617.0,0.23600000000000002,125.961,14.825,0.183,0.052000000000000005,0.7659999999999999,0.223,181.77,79.82,107.32,52.19,-7.64,-3.57,1.71,1.264,1.5390000000000001,0.389,0.43,0.483,0.466,17.62793,14,6000000962,6000000962,2017-08-28 12:31:00,7.19,310.68,-8.069998,0.29,1533.0,5.8,45.599998,0.7240000000000001,0.775,16,52.19120459,-4.27,4
3259.587,2199.0,2573.3,0.325,151.67700000000002,9.124,0.21100000000000002,0.078,0.711,0.267,181.1,82.67,111.12,53.05,-7.12,-3.7,1.75,1.295,1.579,0.397,0.431,0.486,0.46799999999999997,15.199219,14,6000000962,6000000962,2017-08-28 12:32:00,14.2,309.74,-8.880001,0.29,1601.0,12.87,45.470001,0.5529999999999999,0.647,16,53.04780115,-6.06,4
4016.867,2453.0,3233.7,0.389,149.94899999999998,6.653,0.195,0.105,0.7,0.242,200.2,82.57,106.62,51.91,-9.1,-3.55,1.81,1.2919999999999998,1.5330000000000001,0.375,0.431,0.484,0.466,19.642578,14,6000000208,6000000208,2017-08-28 12:39:00,29.36,311.02,-7.659999000000001,0.16,1709.0,23.54,45.529999,0.38,0.501,26,51.9082218,18.07,4
3755.494,2320.0,2930.5,0.382,168.25900000000001,6.888999999999999,0.22,0.099,0.6809999999999999,0.282,185.23,75.38,97.73,47.77,-10.3,-3.08,1.94,1.226,1.45,0.37,0.442,0.49200000000000005,0.473,21.270508,14,6000000208,6000000208,2017-08-28 12:40:00,33.03,316.38,-2.420002,0.23,1702.0,24.65,45.650002,0.455,0.575,26,47.77437859,-22.72,4
4223.413,2495.0,2965.1,0.409,135.283,6.044,0.298,0.1,0.602,0.424,175.33,69.05,89.66,44.93,-11.15,-3.41,1.93,1.166,1.3719999999999999,0.364,0.441,0.495,0.475,17.647461,15,6000000851,6000000851,2017-08-28 13:13:00,57.97,312.96,-5.980001000000001,0.17,1009.0,18.71,45.790001000000004,0.613,0.728,26,44.9292543,-55.95,4
3600.95,2230.0,2863.3,0.381,162.05700000000002,6.94,0.205,0.1,0.695,0.258,173.26,68.16,90.57,44.15,-12.15,-3.71,1.32,1.1640000000000001,1.3880000000000001,0.361,0.445,0.495,0.48200000000000004,15.880859,15,6000000851,6000000851,2017-08-28 13:15:00,34.0,312.32,-6.570002000000001,0.36,1758.0,22.96,45.740002000000004,0.419,0.5379999999999999,26,44.14913958,25.79,4
4572.037,2378.0,3102.6,0.48,126.257,4.288,0.321,0.128,0.55,0.474,161.77,64.46,86.51,42.78,-11.59,-3.67,2.21,1.1059999999999999,1.327,0.34600000000000003,0.425,0.484,0.462,19.822266,15,6000000851,6000000851,2017-08-28 13:16:00,45.84,311.18,-7.63,0.12,873.0,19.61,45.66,0.513,0.67,26,42.78011472,-42.3,4
4612.185,2399.0,3384.8,0.48,170.65400000000002,4.29,0.266,0.139,0.595,0.363,172.32,90.12,117.09,53.57,-4.46,-1.64,2.08,1.436,1.706,0.49,0.518,0.555,0.535,17.172852,14,6000000962,6000000962,2017-08-28 13:23:00,10.85,306.44,-12.540002000000001,1.9,1425.0,10.67,45.830002,0.39299999999999996,0.555,16,53.57170172,-2.0,4
2573.1910000000003,2117.0,2229.8,0.177,100.353,21.645,0.133,0.038,0.828,0.154,165.97,66.76,88.14,42.71,-10.21,-3.19,2.2,1.143,1.357,0.373,0.44299999999999995,0.49700000000000005,0.475,22.582031,14,6000000962,6000000962,2017-08-28 13:25:00,13.15,310.8,-8.050001,0.48,1671.0,12.49,45.700001,0.715,0.753,16,42.70745698,4.13,4
3253.9770000000003,2251.0,2625.0,0.308,148.752,9.957,0.193,0.07400000000000001,0.733,0.24,154.77,64.89,90.96,44.59,-10.82,-3.86,1.82,1.113,1.374,0.35600000000000004,0.426,0.48200000000000004,0.46399999999999997,21.679688,14,6000000962,6000000962,2017-08-28 13:26:00,37.74,314.39,-4.480001000000001,0.17,1710.0,26.03,45.720001,0.5379999999999999,0.627,16,44.59273423,-28.34,4
3338.32,2235.0,2673.5,0.331,142.847,8.884,0.19899999999999998,0.081,0.72,0.249,152.56,69.87,92.9,43.33,-10.87,-3.99,1.82,1.1640000000000001,1.395,0.35700000000000004,0.426,0.484,0.466,18.746094,4,6000000962,6000000962,2017-08-28 13:39:00,21.14,315.92,-3.25,0.15,1594.0,21.02,46.02,0.504,0.603,45,43.33078394,2.3,4
1920.011,1675.0,1734.3,0.128,48.051,32.357,0.09699999999999999,0.027000000000000003,0.8759999999999999,0.107,146.04,65.54,82.66,38.63,-12.79,-3.94,1.85,1.1340000000000001,1.305,0.35,0.439,0.49700000000000005,0.478,20.27832,4,6000000962,6000000962,2017-08-28 13:40:00,32.43,321.98,2.5399990000000003,0.15,1104.0,29.18,46.290001000000004,0.732,0.758,45,38.63479924,-14.82,4
2306.178,1807.0,1925.8,0.21600000000000003,100.801,16.679000000000002,0.165,0.047,0.7879999999999999,0.198,142.41,63.88,83.55,39.51,-12.07,-3.06,1.91,1.126,1.3230000000000002,0.366,0.456,0.506,0.48700000000000004,20.224609,4,6000000962,6000000962,2017-08-28 13:41:00,21.6,316.98,-2.839998,0.11,1358.0,21.49,46.669998,0.716,0.763,45,39.51051625,2.19,4
1687.9589999999998,1493.0,1523.9,0.11599999999999999,67.241,36.369,0.09699999999999999,0.024,0.879,0.10800000000000001,130.07,51.12,66.51,31.69,-15.75,-3.63,2.23,0.973,1.127,0.305,0.426,0.484,0.462,21.306641,3,6000000964,6000000964,2017-08-28 13:46:00,13.61,321.12,0.760001,0.15,1537.0,13.37,47.209998999999996,0.825,0.8420000000000001,45,31.68642447,-2.58,4
1097.383,1011.0,1030.9,0.078,38.580999999999996,56.468999999999994,0.061,0.016,0.9229999999999999,0.064,118.67,43.53,54.96,25.72,-17.22,-3.45,2.5,0.893,1.0070000000000001,0.285,0.423,0.483,0.45799999999999996,21.193359,3,6000000964,6000000964,2017-08-28 13:47:00,23.9,321.22,0.520001,0.13,1415.0,16.13,47.549999,0.76,0.774,45,25.71701721,-17.87,4
1243.98,1161.0,1180.8,0.067,36.613,67.185,0.051,0.013999999999999999,0.935,0.054000000000000006,127.47,56.92,71.98,33.09,-13.9,-3.14,2.68,1.063,1.213,0.354,0.462,0.52,0.493,20.544922,3,6000000964,6000000964,2017-08-28 13:48:00,17.96,323.63,2.340001,0.14,1601.0,16.95,48.139998999999996,0.748,0.7609999999999999,45,33.08986616,6.04,4
2261.833,1936.0,1944.6,0.14400000000000002,91.213,28.046,0.14,0.03,0.83,0.163,134.45,54.34,73.9,35.27,-14.71,-3.97,2.29,0.997,1.192,0.306,0.413,0.47600000000000003,0.45299999999999996,19.250977,2,6000000964,6000000964,2017-08-28 13:56:00,11.19,320.62,-0.669999,0.1,1445.0,-7.31,48.139998999999996,0.971,0.975,21,35.27342256,-8.5,4
