column,cultivar,cultivar_id,date,panicle_count,panicle_surface_area,panicle_volume,range,season
12,6000001059,6000001059,2017-08-21 12:00:00,8.0,16033.5821065,99161.303913,14,4
6,6000000214,6000000214,2017-08-21 12:00:00,4.0,8154.624338500001,37914.7259715,15,4
10,6000000919,6000000919,2017-08-21 12:00:00,5.0,20663.535212,160338.920662,17,4
6,6000000739,6000000739,2017-08-21 12:00:00,46.0,11581.658116,72110.0680735,18,4
7,6000000945,6000000945,2017-08-21 12:00:00,16.0,19284.814669,165901.952211,18,4
3,6000000744,6000000744,2017-08-21 12:00:00,19.0,24465.225646000003,223905.74974499998,3,4
4,6000000550,6000000550,2017-08-21 12:00:00,49.0,13995.177716999999,78023.734564,10,4
11,6000000731,6000000731,2017-08-21 12:00:00,55.0,16801.336755,107172.850151,10,4
13,6000001004,6000001004,2017-08-21 12:00:00,37.0,9779.241704,45336.480819,10,4
11,6000000927,6000000927,2017-08-21 12:00:00,4.0,11773.699503,69964.839553,12,4
9,6000000746,6000000746,2017-08-21 12:00:00,26.0,17688.847243,126405.95232899999,14,4
10,6000000940,6000000940,2017-08-21 12:00:00,32.0,12420.545187,67719.9509505,16,4
4,6000000872,6000000872,2017-08-21 12:00:00,73.0,14975.690146,81872.182038,18,4
9,6000000213,6000000213,2017-08-21 12:00:00,34.0,10682.848199,60328.762963,18,4
12,6000001023,6000001023,2017-08-21 12:00:00,21.0,17252.932261,136927.39389500002,18,4
12,6000000723,6000000723,2017-08-21 12:00:00,14.0,23393.293707,220334.504986,19,4
4,6000000462,6000000462,2017-08-21 12:00:00,33.0,17738.532245,112787.95598,3,4
8,6000000469,6000000469,2017-08-21 12:00:00,48.0,12994.684121,73414.49244500001,7,4
2,6000000726,6000000726,2017-08-21 12:00:00,108.0,23319.746444999997,169894.311519,8,4
3,6000000725,6000000725,2017-08-21 12:00:00,101.0,10501.194904,49853.366746,10,4
7,6000000749,6000000749,2017-08-21 12:00:00,22.0,14102.7340625,89988.509913,10,4
4,6000000914,6000000914,2017-08-21 12:00:00,35.0,10602.409518999999,63081.01265599999,13,4
9,6000000217,6000000217,2017-08-21 12:00:00,40.0,14137.208306,86635.2382705,16,4
13,6000000465,6000000465,2017-08-21 12:00:00,54.0,10094.227784,45753.361361,16,4
13,6000000986,6000000986,2017-08-21 12:00:00,40.0,14416.490726499998,99818.42015399999,17,4
13,6000000996,6000000996,2017-08-21 12:00:00,40.0,20753.0124255,205679.106827,18,4
13,6000000559,6000000559,2017-08-21 12:00:00,10.0,19943.511012,169499.52294,19,4
5,6000000697,6000000697,2017-08-22 12:00:00,5.0,26421.761164,249197.66885500003,34,4
2,6000000733,6000000733,2017-08-22 12:00:00,11.0,9771.543459999999,51223.785963,30,4
9,6000001022,6000001022,2017-08-22 12:00:00,38.0,13880.249735,95310.830737,50,4
8,6000000210,6000000210,2017-08-24 12:00:00,8.0,6226.7475475,23506.870992,3,4
