,height(cm),decision_tree,gboost,mlp
423,5.59,8.703,7.1720830214993345,142.24333
424,5.78,8.703,7.1720830214993345,145.8613
425,5.9,8.703,7.1720830214993345,148.27322
426,5.94,8.703,7.1720830214993345,149.4792
427,6.67,8.703,7.1720830214993345,150.68518
428,8.74,8.703,9.19692000303227,151.89116
429,9.28,8.703,9.733387356249052,154.3031
430,9.81,8.703,10.11594816701323,163.95091
431,13.16,8.703,13.51335170188697,166.36288
432,16.16,8.703,16.386128618743044,168.77481
433,29.97,29.97,30.25428728689627,174.80472
434,67.1,67.1,67.32195920434235,186.86447
435,73.65,73.65,73.49536857863906,188.07043
436,84.34,84.34,85.07762057607177,189.27643
437,99.01,102.31,99.13466317288812,192.89435
438,105.61,102.31,102.31951586773936,194.10031
439,134.23,142.48666666666665,136.30646023159102,200.13022
440,139.45,142.48666666666665,140.52384773491792,201.33618
441,153.78,142.48666666666665,148.57596099747784,202.54214
442,164.45,172.73666666666668,170.44059365298023,204.9541
443,174.91,172.73666666666668,172.8665975526577,206.1601
444,178.85,172.73666666666668,172.8665975526577,207.36606
445,188.22,207.52499999999998,196.4372934774226,210.98398
446,201.72,207.52499999999998,197.84389119716568,212.18997
447,211.98,207.52499999999998,213.30905742322642,213.39595
448,210.58,207.52499999999998,213.30905742322642,214.60193
449,219.05,207.52499999999998,216.0339206986397,215.8079
450,213.6,207.52499999999998,216.0339206986397,217.01387
451,230.26,233.41333333333333,228.96843935316073,218.21985
452,232.26,233.41333333333333,233.92028098266073,219.42581
453,237.72,233.41333333333333,235.47565896265178,221.83777
454,258.25,255.75,255.65992886329894,224.24973
455,253.25,255.75,255.65992886329894,225.45572
456,272.58,279.34999999999997,273.28353853425233,227.86766
457,272.46,279.34999999999997,273.28353853425233,231.4856
458,287.94,279.34999999999997,285.9940524566718,232.69154
459,284.42,279.34999999999997,285.9940524566718,233.89755
460,315.78,315.78,315.51322275576024,242.33937
461,369.78,370.8785714285714,369.2487350113918,261.635
462,370.84,370.8785714285714,369.2487350113918,262.84097
463,368.87,370.8785714285714,369.2487350113918,265.25293
464,368.51,370.8785714285714,369.2487350113918,267.66486
465,372.71,370.8785714285714,372.30576511880184,273.69473
466,373.22,370.8785714285714,372.30576511880184,274.9007
467,372.22,370.8785714285714,372.30576511880184,276.1067
468,381.35,386.08500000000004,380.9329594351117,278.51868
469,387.35,386.08500000000004,386.0939001753993,282.1366
470,389.27,386.08500000000004,386.0939001753993,285.75452
471,391.54,386.08500000000004,386.0939001753993,286.96048
472,379.17,386.08500000000004,385.6368492962185,290.57843
473,387.83,386.08500000000004,385.6368492962185,291.78436
