canopy_height,column,cultivar,date,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,leaf_angle_mean,range,season,day_offset
15.0,2,6000000836,2017-05-13 12:00:00,2.6959561264999996,1.9773803895200002,1.7564640629099997,0.435924170616,43,4,12
15.0,15,6000000462,2017-05-13 12:00:00,3.26597994829,2.01862316282,1.94101222758,0.396781789639,35,4,12
19.0,2,6000000751,2017-05-13 12:00:00,2.1596102415700003,1.80920922219,1.63874448741,0.47194444444399997,42,4,12
13.0,4,6000000916,2017-05-13 12:00:00,3.04218047036,2.1987514949599998,1.73298528121,0.44409918393,30,4,12
17.0,2,6000000976,2017-05-15 12:00:00,2.3053454298,1.8720283699,1.6653865087200002,0.46260034511200004,45,4,14
17.0,2,6000000691,2017-05-15 12:00:00,2.0541657235099997,1.8236818228,1.56543073068,0.487179487179,32,4,14
25.0,2,6000000729,2017-05-15 12:00:00,2.4872355051099997,1.9630800495200003,1.68468200007,0.453887220554,33,4,14
20.0,2,6000000795,2017-05-15 12:00:00,2.64630101289,1.9575377423500002,1.7448715321200001,0.443691506579,35,4,14
19.0,15,6000000462,2017-05-15 12:00:00,3.35085685056,2.12858364822,1.8816983254400004,0.411125187688,35,4,14
16.0,10,6000000975,2017-05-15 12:00:00,2.7623398925700005,1.9632148698099998,1.7669647680400002,0.44217704149899995,36,4,14
18.0,2,6000000884,2017-05-15 12:00:00,1.8982020363,1.77956214688,1.5533306987399997,0.495036661027,37,4,14
13.0,5,6000000926,2017-05-15 12:00:00,4.056093907569999,2.3819171685400002,1.9494556343400002,0.39216867469899996,37,4,14
31.0,2,6000000559,2017-05-15 12:00:00,2.1327568932900003,1.8080586366599998,1.62112081084,0.473528064147,40,4,14
21.0,4,6000000225,2017-05-15 12:00:00,3.45427254143,2.21668086576,1.85378930588,0.41885185185199997,42,4,14
20.0,9,6000000856,2017-05-15 12:00:00,3.3156791920999997,2.39814392189,1.75626235056,0.42440725244099997,42,4,14
26.0,2,6000000827,2017-05-15 12:00:00,2.38289093932,1.92849638787,1.65082972283,0.468828799828,44,4,14
14.0,3,6000000964,2017-05-15 12:00:00,3.3437636021900006,2.03759923088,1.92281244083,0.412708918305,45,4,14
29.0,6,6000001061,2017-05-15 12:00:00,3.40084768348,2.13292171857,1.88289297659,0.41641231593,46,4,14
22.0,6,6000000893,2017-05-15 12:00:00,2.6825722484599996,2.05791029695,1.70570928026,0.450662061025,48,4,14
20.0,4,6000000984,2017-05-15 12:00:00,3.02776695157,1.97105540387,1.89635680038,0.39822954823,51,4,14
23.0,6,6000001055,2017-05-15 12:00:00,2.8626106271599996,2.0321454281599998,1.76053458552,0.440562945826,54,4,14
24.0,16,6000001054,2017-05-15 12:00:00,3.38825024432,2.26514695245,1.83649117509,0.411497326203,54,4,14
15.0,2,6000000733,2017-05-15 12:00:00,2.7344178286000003,2.0041618896799998,1.74170162855,0.441890503449,30,4,14
16.0,4,6000000916,2017-05-15 12:00:00,3.02646620033,2.05574534816,1.8051820815700002,0.43061392665799997,30,4,14
24.0,8,6000001055,2017-05-16 12:00:00,3.18750547159,2.1559006319,1.80319713901,0.43001557316000005,54,4,15
25.0,11,6000001054,2017-05-16 12:00:00,3.8225304446900004,2.37272665324,1.89821856324,0.39473856209200003,54,4,15
28.0,2,6000000827,2017-05-16 12:00:00,2.45504011295,1.8568559530200002,1.71706924277,0.454585821467,44,4,15
15.0,14,6000000936,2017-05-16 12:00:00,3.5435686228099996,2.23714983007,1.87475695393,0.409856035437,49,4,15
19.0,2,6000000904,2017-05-16 12:00:00,2.98555450205,2.06507886181,1.7857297695200003,0.433302850175,49,4,15
20.0,11,6000000694,2017-05-16 12:00:00,4.36114170084,2.36507628705,2.02642140026,0.38491708866999996,45,4,15
25.0,12,6000000850,2017-05-16 12:00:00,3.35068192046,2.1327066712700002,1.8820714901,0.41327392555500003,40,4,15
27.0,2,6000000751,2017-05-16 12:00:00,2.21901924646,1.67339067371,1.7568590052400002,0.45069853159699996,42,4,15
24.0,8,6000000756,2017-05-16 12:00:00,3.4155633495099997,2.295312839,1.80412837885,0.41834319526600006,44,4,15
16.0,2,6000000933,2017-05-16 12:00:00,3.32180364295,2.1474796539,1.8382798794,0.424590830538,34,4,15
21.0,2,6000000686,2017-05-16 12:00:00,2.14136206523,1.68052001584,1.69604414476,0.461157024793,29,4,15
12.0,2,6000000970,2017-05-16 12:00:00,3.0067060278500004,2.1278010162400003,1.7598400185599998,0.439170843776,11,4,15
20.0,9,6000001022,2017-05-16 12:00:00,3.5013039731199997,2.15385095305,1.9061242913499998,0.40845713014,50,4,15
24.0,2,6000000730,2017-05-16 12:00:00,3.5160596966800006,2.35819841883,1.78594816478,0.429280181624,50,4,15
17.0,2,6000000865,2017-05-16 12:00:00,3.90440058921,2.53631150517,1.8104248341999998,0.421652421652,12,4,15
17.0,12,6000000229,2017-05-16 12:00:00,2.5739754989400003,1.8378362654499998,1.79587079551,0.438646405863,43,4,15
25.0,7,6000000897,2017-05-16 12:00:00,3.5815299557499998,2.0392761395299996,2.0102713692,0.39391112838500003,47,4,15
16.0,2,6000000964,2017-05-16 12:00:00,3.039431356,2.0885726276099996,1.7828140863900004,0.434623858986,21,4,15
17.0,6,6000000820,2017-05-16 12:00:00,2.9582754375,2.01775404161,1.8206821470900003,0.426995817421,22,4,15
14.0,11,6000000926,2017-05-16 12:00:00,4.1358913448,2.3715572546200003,1.9779680204099999,0.385933223864,22,4,15
22.0,3,6000000207,2017-05-16 12:00:00,3.0292229093299996,1.96144202803,1.8705318723500002,0.42078745412100005,39,4,15
17.0,11,6000000890,2017-05-16 12:00:00,3.7058429680900002,2.42691198769,1.8129245454700003,0.42684893095,51,4,15
18.0,2,6000000870,2017-05-16 12:00:00,3.20922758532,2.0789408329700003,1.83992418999,0.427429345722,51,4,15
29.0,2,6000000836,2017-05-16 12:00:00,3.24950824698,2.23893068071,1.7807472819599999,0.430595351799,43,4,15
19.0,2,6000000729,2017-05-16 12:00:00,3.8989966604400004,2.4491642751900002,1.8419904957299997,0.421610761705,33,4,15
22.0,3,6000000795,2017-05-16 12:00:00,3.3121565624400002,2.15101419222,1.8437669184,0.41992401594400003,21,4,15
